D_r,D_c,T_r,T_c,S_r,S_c,SMILES
Lenalidomide,717906-29-1,22806;51185;10320,2185;6790;23774,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
Pomalidomide,717906-29-1,22806;51185;10320,2185;6790;23774,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
thalidomide,717906-29-1,5743;5742,2185;6790;23774,O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
Tanshinone IIA,717906-29-1,7015;328,2185;6790;23774,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
Gentian violet cation,717906-29-1,1773,2185;6790;23774,CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
Bendamustine,717906-29-1,9734;83933,2185;6790;23774,CN1C(CCCC(O)=O)=NC2=CC(=CC=C12)N(CCCl)CCCl,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,CN1C(CCCC(O)=O)=NC2=CC(=CC=C12)N(CCCl)CCCl?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
busulfan,717906-29-1,4000;54107,2185;6790;23774,CS(=O)(=O)OCCCCOS(C)(=O)=O,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,CS(=O)(=O)OCCCCOS(C)(=O)=O?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
dacarbazine,717906-29-1,64386;54107,2185;6790;23774,CN(C)\N=N\C1=C(N=CN1)C(N)=O,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,CN(C)\N=N\C1=C(N=CN1)C(N)=O?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
mitomycin C,717906-29-1,54107,2185;6790;23774,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
ifosfamide,717906-29-1,4000;54107,2185;6790;23774,ClCCNP1(=O)OCCCN1CCCl,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,ClCCNP1(=O)OCCCN1CCCl?CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
