pre_all,re_all,f1_all,auc_all
0.667071297,0.679562705,0.673107677,0.743246938
0.667906785,0.691643091,0.673461456,0.741652579
0.664520996,0.685755563,0.671967035,0.739599793
0.667215464,0.692222701,0.671839932,0.736063481
0.66639699,0.674604106,0.673531764,0.736014749
0.66963561,0.67872434,0.666122465,0.735485596
0.665331714,0.68486286,0.680930419,0.734546317
0.668249148,0.6842798,0.673617754,0.73362127
0.666062649,0.68898137,0.670977845,0.731778937
0.663502273,0.681928584,0.673644877,0.730578748
,,,
,,0.003619928,0.004109691
