pre_all,re_all,f1_all,auc_all
0.687090313,0.687671116,0.690147742,0.768618685
0.689822153,0.695525963,0.697659597,0.768160493
0.692263454,0.695848502,0.693538393,0.766934359
0.69491858,0.691288242,0.692426834,0.763930444
0.685253445,0.697797577,0.687991337,0.763741094
0.685920744,0.692262247,0.693500463,0.762142974
0.688252528,0.702049137,0.693486042,0.7618779
0.676907753,0.707289604,0.695622227,0.759575187
0.683897249,0.696178493,0.698051138,0.759308417
0.685259839,0.700114965,0.696478951,0.757468741
,,,
,,0.00320774,0.003840296
