pre_all,re_all,f1_all,auc_all
0.749718669,0.691913032,0.719951537,0.810521288
0.753346878,0.691303065,0.721711771,0.810066055
0.750171274,0.692025666,0.716711964,0.809599941
0.756583602,0.692508466,0.717733613,0.809031806
0.747144002,0.687204209,0.718378633,0.808586373
0.754224438,0.694202915,0.721122762,0.808278359
0.748134196,0.691545192,0.718316615,0.807748337
0.750625584,0.691666255,0.721028526,0.806211125
0.751509983,0.69167076,0.719060435,0.805364994
0.748290234,0.693720116,0.71755676,0.805221434
,,,
,,0.001713067,0.001902007
