pre_all,re_all,f1_all,auc_all
0.682153673,0.713284414,0.687352785,0.762855481
0.689236182,0.694310048,0.700394228,0.761921771
0.686707645,0.695053543,0.692277496,0.76139461
0.683646079,0.688001443,0.685247838,0.760925677
0.692575823,0.699144149,0.694875486,0.759495271
0.694415296,0.687980636,0.691309216,0.759350882
0.689553124,0.697671031,0.697210219,0.758519138
0.698722697,0.692817511,0.698495729,0.757109225
0.689647175,0.685759862,0.69894829,0.754572647
0.691649595,0.694676247,0.688927065,0.754278687
,,,
,,0.005280165,0.002960722
