pre_all,re_all,f1_all,auc_all
0.689533945,0.702075643,0.690879179,0.763168411
0.678693133,0.696618374,0.691290392,0.760028569
0.682489176,0.704110655,0.687738919,0.759151469
0.680931296,0.708893455,0.696570469,0.759120181
0.687213048,0.707193936,0.69667359,0.759080206
0.683573495,0.705478164,0.692340457,0.758037828
0.687036183,0.703439669,0.688353942,0.756985827
0.675300009,0.693573402,0.690836322,0.755132518
0.682101666,0.685045622,0.699936762,0.755028969
0.67653806,0.693598941,0.694900281,0.753171662
,,,
,,0.003940561,0.002903018
