pre_all,re_all,f1_all,auc_all
0.828500978,0.7646651,0.791342082,0.889215406
0.818062473,0.758158049,0.788292498,0.888731365
0.822537818,0.76520564,0.790075628,0.888489138
0.822153843,0.76460047,0.792443558,0.888480754
0.816845561,0.763490012,0.787956888,0.888229253
0.829826534,0.758642773,0.788089432,0.887811113
0.826554885,0.767350176,0.792973281,0.887626814
0.828111992,0.755387779,0.789701102,0.88751453
0.821294361,0.760276146,0.787920853,0.886847143
0.820956851,0.760822562,0.7927894,0.885254327
,,,
,,0.002089663,0.001129868
