pre_all,re_all,f1_all,auc_all
0.688047774,0.703129744,0.691905178,0.769766595
0.690969757,0.703436668,0.693955603,0.768999473
0.690463011,0.709732459,0.699274908,0.766787477
0.692126429,0.703125344,0.693140169,0.766056124
0.68866987,0.708764384,0.693164081,0.765618199
0.698733281,0.696161801,0.689334785,0.762474776
0.687087109,0.70180084,0.697206988,0.761651854
0.686310581,0.715688324,0.702949863,0.760060565
0.68313375,0.709077908,0.697003319,0.760044658
0.689727198,0.708737982,0.702286018,0.759976551
,,,
,,0.004504214,0.003769032
