pre_all,re_all,f1_all,auc_all
0.718672531,0.750378644,0.731758437,0.815803864
0.721717919,0.748617388,0.736617553,0.81513024
0.724011553,0.754476453,0.735905893,0.81374159
0.719508521,0.754486804,0.738234071,0.812822149
0.725619821,0.751257547,0.741978098,0.81257202
0.727441971,0.746544765,0.733574524,0.810755563
0.721758612,0.752409867,0.732139285,0.810745213
0.727035823,0.752130412,0.735314159,0.809686907
0.72203415,0.748915819,0.736139617,0.808457823
0.720536101,0.740677937,0.744835874,0.808097292
,,,
,,0.004139762,0.002668276
