pre_all,re_all,f1_all,auc_all
0.734279197,0.748126504,0.753332473,0.832074327
0.728470485,0.765766111,0.752476338,0.831953407
0.739292758,0.762492815,0.749081287,0.830840984
0.746706958,0.752705925,0.74831829,0.830714008
0.737412291,0.75954738,0.746921622,0.8302414
0.738988176,0.757589789,0.745616322,0.829951275
0.738464426,0.765443572,0.753447522,0.829483346
0.730735594,0.764138511,0.750498274,0.828344714
0.741572126,0.768041983,0.747431638,0.825806891
0.738636057,0.763805327,0.754877136,0.824549611
,,,
,,0.003192336,0.002495417
