pre_all,re_all,f1_all,auc_all
0.829280506,0.767397358,0.801996187,0.893258311
0.828222595,0.775351345,0.798691412,0.892418082
0.83001659,0.772940544,0.803071942,0.892355578
0.831621901,0.772101966,0.797803839,0.892259675
0.821872444,0.772825875,0.80279641,0.891968557
0.832975682,0.769205023,0.79592396,0.891381318
0.826044914,0.774869127,0.800215516,0.89080802
0.829565397,0.774508698,0.799576088,0.890668823
0.829119004,0.769323615,0.801365211,0.890028933
0.831177952,0.769925589,0.801597077,0.889232184
,,,
,,0.002312022,0.001243449
