pre_all,re_all,f1_all,auc_all
0.746985052,0.759396327,0.754235049,0.839601242
0.741810069,0.764209621,0.764770086,0.838808786
0.747915657,0.771640404,0.76143231,0.836713193
0.747506306,0.77687122,0.751206694,0.836424601
0.739780277,0.76311796,0.755101795,0.835735503
0.749644973,0.764593852,0.762746508,0.835426918
0.743750664,0.764226266,0.755714541,0.835161933
0.752234419,0.783941353,0.755613582,0.834513206
0.744633835,0.775011097,0.756495328,0.831776549
0.730384839,0.761257837,0.751252439,0.83149566
,,,
,,0.00464891,0.002605537
