pre_all,re_all,f1_all,auc_all
0.756508461,0.783884978,0.759213915,0.843440825
0.733294678,0.760624318,0.752717575,0.838456495
0.746892673,0.759266096,0.755208701,0.837442716
0.750762937,0.782095842,0.755039667,0.834761038
0.744514984,0.761672587,0.75476117,0.833534247
0.734803594,0.765075109,0.749729187,0.833417994
0.738526064,0.769853266,0.75988604,0.833038171
0.738599053,0.763691347,0.754980143,0.832126664
0.739081044,0.768808479,0.751037886,0.831551179
0.742096581,0.7650635,0.751426231,0.830659438
,,,
,,0.003038228,0.002605865
