pre_all,re_all,f1_all,auc_all
0.839645172,0.805719741,0.820622284,0.924554419
0.833723135,0.797085781,0.821057293,0.923174231
0.846906444,0.802479436,0.825953959,0.921287547
0.844078894,0.793810223,0.820326381,0.921201258
0.839560213,0.800355464,0.822881504,0.920702528
0.842404599,0.811128085,0.82074909,0.920405262
0.84549358,0.804109871,0.821024744,0.920119398
0.845110459,0.800331962,0.827526601,0.920110363
0.834384417,0.811148649,0.825398064,0.916982517
0.836404313,0.801924207,0.818207287,0.916442865
,,,
,,0.002973685,0.0024468
