pre_all,re_all,f1_all,auc_all
0.745222756,0.773355922,0.760064259,0.834980638
0.75531394,0.769057887,0.757925772,0.833642482
0.743458059,0.77038569,0.753436722,0.832554974
0.746084331,0.775015951,0.762799304,0.83220982
0.740036008,0.768084311,0.761044432,0.831209875
0.747772158,0.783965149,0.756149384,0.831184296
0.740026619,0.782296319,0.754712522,0.830993639
0.746390654,0.772710171,0.763263491,0.830298079
0.745945228,0.773680447,0.757434452,0.828843776
0.744676841,0.773028096,0.755431175,0.826842589
,,,
,,0.0034276,0.00232025
