pre_all,re_all,f1_all,auc_all
0.839014883,0.813418112,0.822818694,0.917399631
0.838456553,0.809810933,0.823381285,0.917112327
0.835686893,0.811525735,0.827328153,0.917054375
0.836587983,0.814501714,0.824210381,0.91705329
0.839983183,0.809723122,0.827103765,0.91701274
0.840387886,0.816574515,0.826748665,0.916336191
0.836783881,0.81188585,0.825264104,0.91593044
0.837752356,0.814860609,0.826931463,0.915364244
0.835842583,0.812065786,0.826536499,0.915241868
0.839309621,0.810532955,0.829905227,0.915107342
,,,
,,0.002125676,0.000883911
