pre_all,re_all,f1_all,auc_all
0.688454482,0.676672417,0.684776211,0.758823961
0.690507438,0.678704502,0.675964978,0.757602208
0.6813058,0.689274625,0.680413156,0.756233397
0.68554678,0.681956184,0.687705245,0.755213472
0.686071623,0.686633604,0.679555038,0.755070726
0.678412313,0.683706227,0.68075309,0.752645334
0.685558792,0.681358461,0.684636852,0.751677592
0.683024999,0.674021045,0.685718746,0.751400293
0.682948135,0.682815249,0.679405838,0.751324392
0.681578041,0.684580818,0.677131101,0.750489909
,,,
,,0.003892944,0.002930627
