pre_all,re_all,f1_all,auc_all
0.684223203,0.68768389,0.682131086,0.768749312
0.694868451,0.693225607,0.689056722,0.764415311
0.696203791,0.694540248,0.697143965,0.762674948
0.69397871,0.693236252,0.694603603,0.761997449
0.696240836,0.686049903,0.688856392,0.761768595
0.692573371,0.687032424,0.694207478,0.761302827
0.699322635,0.697479296,0.698198953,0.759958877
0.689757345,0.679838624,0.689603611,0.759667806
0.691537956,0.690601648,0.69664385,0.759616414
0.694056994,0.693905814,0.685291408,0.758367512
,,,
,,0.005405508,0.00299341
