pre_all,re_all,f1_all,auc_all
0.756106561,0.709035273,0.732140983,0.818908891
0.759645641,0.704085049,0.729823883,0.817754954
0.757471225,0.70577543,0.736001,0.817656686
0.762385904,0.711441132,0.728759046,0.816705099
0.757969592,0.706022934,0.732022024,0.816671766
0.757451251,0.710477277,0.731163922,0.815079826
0.761732769,0.703852951,0.734769843,0.815045206
0.757722797,0.707340823,0.733539776,0.813914469
0.762267605,0.706499775,0.727510979,0.812849329
0.755896824,0.702763963,0.732330648,0.811938734
,,,
,,0.002622439,0.002274383
