pre_all,re_all,f1_all,auc_all
0.691010837,0.698028908,0.688649181,0.765572383
0.694353306,0.693197581,0.69575172,0.763636608
0.685415144,0.673470011,0.694616261,0.763216451
0.686286168,0.691700882,0.691566063,0.761417237
0.688308965,0.682436331,0.689397871,0.760537037
0.688170205,0.699145536,0.694743401,0.759666673
0.693471314,0.706225379,0.693231479,0.758706652
0.688557236,0.690229152,0.689596061,0.757168262
0.691883698,0.699156633,0.688247893,0.756046374
0.690378112,0.698041392,0.697457166,0.755124003
,,,
,,0.003278336,0.00343202
