pre_all,re_all,f1_all,auc_all
0.697505372,0.698359685,0.691420745,0.768961665
0.693963943,0.690832579,0.683091505,0.762182057
0.683330469,0.695255508,0.687202795,0.761976926
0.682365961,0.702416939,0.693020032,0.76174866
0.700841028,0.69594855,0.691468598,0.761659979
0.688925237,0.697332312,0.698542531,0.761097066
0.694448555,0.681980915,0.684333255,0.76092298
0.690334664,0.69357108,0.69437032,0.760856781
0.700682357,0.705815978,0.694493257,0.758964799
0.691022152,0.705134545,0.684881356,0.757926812
,,,
,,0.005149177,0.002913419
