pre_all,re_all,f1_all,auc_all
0.695613482,0.695450045,0.693606062,0.771856946
0.68902384,0.706087875,0.696159651,0.771195677
0.699505253,0.69051396,0.689893836,0.769579426
0.688868853,0.701127588,0.691165529,0.768278064
0.696002028,0.694822996,0.699095879,0.767771802
0.698751662,0.697794328,0.699787222,0.765147216
0.693148915,0.697804229,0.695419009,0.764550436
0.693373721,0.699812985,0.697313044,0.763852537
0.697216715,0.702455392,0.693853963,0.76370414
0.699742627,0.695160723,0.692191269,0.759730164
,,,
,,0.003304145,0.003818829
