pre_all,re_all,f1_all,auc_all
0.757479805,0.760206298,0.757011252,0.847353415
0.74836765,0.767062656,0.759838487,0.846398908
0.752236765,0.767732218,0.756050931,0.845084688
0.755811312,0.766427157,0.755865628,0.843388943
0.751234634,0.759225905,0.752437223,0.842660859
0.748823551,0.762179856,0.756139684,0.842620941
0.757366313,0.758569117,0.753648153,0.841106159
0.759867309,0.760206298,0.756572648,0.840743997
0.758587233,0.759890145,0.752497267,0.839409346
0.748182868,0.76642077,0.753315624,0.835874837
,,,
,,0.002343732,0.003411206
