pre_all,re_all,f1_all,auc_all
0.821129346,0.768117343,0.794209568,0.888424981
0.81782209,0.76859927,0.795675642,0.886633279
0.817659956,0.768722078,0.791395223,0.886023233
0.821172369,0.769199936,0.790633685,0.885975293
0.819636253,0.766799791,0.791986918,0.885829984
0.823049143,0.768113564,0.7940025,0.885174977
0.819081563,0.76293473,0.7962165,0.884752151
0.822939572,0.765343352,0.796153683,0.884511231
0.822575601,0.768359469,0.792247699,0.884121271
0.818797563,0.761606813,0.794605478,0.88383138
,,,
,,0.002032624,0.001364977
