pre_all,re_all,f1_all,auc_all
0.759582434,0.785812573,0.767205943,0.853796636
0.760628369,0.781702547,0.766200498,0.850956853
0.76120584,0.77351856,0.763844938,0.850449885
0.760778784,0.775771237,0.762727263,0.850213745
0.750406031,0.780946568,0.773604534,0.849495636
0.762214125,0.773504688,0.766398582,0.848608227
0.758540859,0.779474838,0.77248689,0.8476099
0.757859705,0.777973978,0.767936611,0.847353964
0.756175792,0.775742107,0.771980423,0.847023258
0.762232601,0.775395328,0.76219035,0.845661651
,,,
,,0.004078404,0.002365693
