pre_all,re_all,f1_all,auc_all
0.758816284,0.784915151,0.76483132,0.855290894
0.757924546,0.779705602,0.774613315,0.852788451
0.756746162,0.786164705,0.761231049,0.8518459
0.757335121,0.782410439,0.773813159,0.851635652
0.763378324,0.775284995,0.774929014,0.851230376
0.756229768,0.780737619,0.773157053,0.850483733
0.760062129,0.779700959,0.774112963,0.850302506
0.75731838,0.792997609,0.774604818,0.850184389
0.761534281,0.784136658,0.762481799,0.849727996
0.755087783,0.779717211,0.767628904,0.848675759
,,,
,,0.005515273,0.001848493
