pre_all,re_all,f1_all,auc_all
0.828268632,0.790599295,0.826006882,0.920794169
0.836720576,0.798172738,0.821790777,0.919719344
0.831049283,0.811125147,0.817545093,0.9183349
0.829342762,0.795995887,0.81699738,0.918201559
0.840535496,0.799274383,0.814953945,0.91819119
0.836149103,0.801395417,0.816983798,0.917896846
0.835151956,0.798134548,0.814868953,0.917601804
0.838164141,0.788454759,0.814489661,0.916983628
0.839154253,0.800326087,0.823333341,0.915701448
0.837587113,0.790555229,0.819746076,0.915663988
,,,
,,0.00393153,0.001592076
