pre_all,re_all,f1_all,auc_all
0.763818752,0.773048133,0.76621757,0.854807249
0.765249049,0.771698092,0.764494948,0.853162634
0.762746389,0.770368089,0.771057303,0.850645382
0.761130493,0.773696948,0.768929754,0.850212772
0.759610646,0.780659391,0.77620795,0.849031221
0.756287921,0.776329454,0.766600408,0.848725423
0.752800565,0.777976282,0.766679,0.846368872
0.761315934,0.777334932,0.769090676,0.846321266
0.763304521,0.788276386,0.765025178,0.845030683
0.762811829,0.773371323,0.766684637,0.844255807
,,,
,,0.003470833,0.003455438
