pre_all,re_all,f1_all,auc_all
0.838770211,0.810172025,0.828943513,0.918194478
0.837581439,0.81603601,0.827312762,0.918028465
0.839260765,0.817565342,0.824977321,0.917862509
0.842437539,0.813508609,0.825896985,0.917722335
0.838458355,0.815490018,0.826056337,0.917395571
0.839840977,0.815852575,0.82942659,0.916582074
0.842738506,0.817657059,0.828515211,0.916296567
0.841429556,0.813416891,0.827887226,0.916267419
0.84141783,0.812065867,0.828918195,0.916024892
0.840663415,0.813509178,0.82952849,0.915162906
,,,
,,,0.001022914
