,pre_all,re_all,f1_all,auc_all,,
0,0.684581845,0.68488356,0.688042242,0.755574435,,0.001834595
1,0.679186612,0.695440745,0.690407055,0.765312662,,0.003448004
2,0.679330538,0.690162153,0.692856773,0.76640935,,
3,0.684677388,0.694282387,0.687011098,0.75820985,,
4,0.68496139,0.696023805,0.690822975,0.763677764,,
5,0.674240002,0.701632741,0.690922037,0.759090047,,
6,0.6800682,0.702205451,0.688038248,0.76290452,,
7,0.68534499,0.704552355,0.690752064,0.764276781,,
8,0.687453912,0.696922546,0.691400261,0.763964982,,
9,0.689093981,0.700734,0.691231463,0.762250733,,
