,pre_all,re_all,f1_all,auc_all,,
0,0.708200241,0.711536906,0.709353592,0.795589978,,0.003343683
1,0.715566697,0.704005663,0.709517549,0.798272933,,0.002207012
2,0.71297176,0.726870835,0.714732511,0.800008747,,
3,0.713714375,0.717747121,0.716862594,0.797501406,,
4,0.71048711,0.719369398,0.712961813,0.798184682,,
5,0.721818503,0.718396457,0.711964992,0.799726385,,
6,0.700161698,0.721661238,0.706428962,0.798115041,,
7,0.717270023,0.722305252,0.716603249,0.798892012,,
8,0.710577493,0.727867195,0.712376642,0.798802277,,
9,0.707091031,0.71414064,0.714398907,0.804142949,,
