,pre_all,re_all,f1_all,auc_all,,
0,0.764048979,0.716386996,0.741972022,0.834480983,,0.001628465
1,0.766830411,0.719645966,0.739528777,0.837108498,,0.001791773
2,0.768316558,0.717600389,0.74275191,0.837541231,,
3,0.763365065,0.715296409,0.737729944,0.833025487,,
4,0.768113587,0.712894618,0.74174977,0.832241083,,
5,0.766883892,0.713615039,0.742388975,0.833608654,,
6,0.76514497,0.718556542,0.740606874,0.834459783,,
7,0.764560904,0.716628977,0.74067398,0.832345529,,
8,0.767285208,0.717953261,0.743118736,0.834919488,,
9,0.761147246,0.710481346,0.741058118,0.834283777,,
