,pre_all,re_all,f1_all,auc_all,,
0,0.715594879,0.732244909,0.713437872,0.804245046,,0.004695206
1,0.71505443,0.723321589,0.727316054,0.798697719,,0.002439325
2,0.704197106,0.731128281,0.716640782,0.801474855,,
3,0.702644021,0.731129668,0.718284024,0.805184258,,
4,0.70871008,0.722969261,0.722993892,0.801626933,,
5,0.707459689,0.735965156,0.716256391,0.802701832,,
6,0.71347605,0.728893636,0.71671252,0.803225188,,
7,0.720428673,0.737456306,0.725168629,0.805460242,,
8,0.710146919,0.737447983,0.723518231,0.802378461,,
9,0.71174095,0.728900571,0.724081151,0.807296119,,
