,pre_all,re_all,f1_all,auc_all,,
0,0.696283761,0.717392213,0.707338911,0.780487565,,0.002186253
1,0.704910144,0.706512503,0.704312163,0.783449638,,0.002349264
2,0.700684582,0.705809013,0.703414397,0.782620689,,
3,0.694177822,0.714683894,0.707837219,0.783075775,,
4,0.695753799,0.70990922,0.701956504,0.783524157,,
5,0.699785042,0.711268603,0.705796064,0.785408455,,
6,0.710922248,0.710594135,0.706575811,0.784831868,,
7,0.705734518,0.716009612,0.70374782,0.782271307,,
8,0.698838504,0.699356876,0.70140999,0.783025552,,
9,0.691746681,0.704780479,0.705402223,0.789276911,,
