,pre_all,re_all,f1_all,auc_all,,
0,0.772984789,0.742984724,0.754488582,0.86071493,,0.003621177
1,0.765320505,0.746771445,0.75352967,0.861679677,,0.002382092
2,0.769741843,0.744603408,0.752685565,0.860570545,,
3,0.774467266,0.748381316,0.757952991,0.861016308,,
4,0.772559139,0.737050529,0.761525276,0.860114333,,
5,0.776073415,0.752679201,0.751163925,0.86496443,,
6,0.77537836,0.75212691,0.760656876,0.865779298,,
7,0.777903261,0.74243537,0.759243068,0.865741647,,
8,0.767976532,0.751659812,0.753141188,0.859694104,,
9,0.76835204,0.735393655,0.75525895,0.863272462,,
