,pre_all,re_all,f1_all,auc_all,,
0,0.716869,0.724671624,0.719102253,0.797645212,,0.002539872
1,0.713467749,0.731275439,0.719153773,0.799347452,,0.002297003
2,0.708994653,0.723663946,0.719852855,0.801096935,,
3,0.711573923,0.725314074,0.718859784,0.799364873,,
4,0.706988739,0.730933313,0.716328049,0.797933106,,
5,0.714188129,0.728310708,0.721734749,0.799305633,,
6,0.71033663,0.722671668,0.722383134,0.800179964,,
7,0.714170857,0.736582253,0.72476455,0.803675106,,
8,0.711011194,0.727627555,0.718978806,0.795625624,,
9,0.703554977,0.724307496,0.716888622,0.79671704,,
