id,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC_ratio,logFC_max_min,logFC_z_score
139378,-2.721893393,-4.211805893,-18.09624112,6.67e-55,1.71e-50,113.86766170000001,0.3285480532207331,0.328548053220733,2.791908511941803
64066,-2.343294764,-4.285774266000001,-17.23350102,4.79e-51,6.16e-47,105.11629540000001,0.28284903986852694,0.28284903986852683,2.2892586245124296
103344932,-2.9213217719999998,-3.9898084519999997,-15.56308982,1.1e-43,9.38e-40,88.41272027,0.35262019573958464,0.35262019573958453,3.05668139957572
146909,4.15209809,4.281190681,14.73003147,4.32e-40,2.77e-36,80.25052875,0.5011819154120061,0.501181915412006,4.690732688476289
4653,-5.7480719229999995,-2.8296931919999997,-14.54270847,2.72e-39,1.4e-35,78.43456465,0.6938250575614683,0.6938250575614683,6.8096417548312935
399888,-3.333839072,-3.686238068,-14.44952099,6.79e-39,2.91e-35,77.53407336,0.4024133860913543,0.4024133860913542,3.604363716744568
11065,4.111624321,5.953816073,14.35541809,1.6999999999999998e-38,6.26e-35,76.62674483,0.49629650070559117,0.49629650070559106,4.636997323703765
80178,3.3912521389999997,2.994609045,14.34150059,1.95e-38,6.27e-35,76.49272792,0.40934347065704374,0.4093434706570437,3.680588693419074
207147,-1.408695096,-4.475813206000001,-14.31616368,2.5e-38,7.14e-35,76.24886554,0.17003753069927588,0.1700375306992757,1.0484289385926493
10024,3.904125723,4.473497925,14.28335808,3.44e-38,8.13e-35,75.93334263,0.4712502367357181,0.47125023673571803,4.3615099369640395
116173,-3.670687286,-3.261823003,-14.28226852,3.4799999999999997e-38,8.13e-35,75.92286769,0.44307288628529923,0.4430728862852992,4.051583288815141
983,3.3236800160000004,5.525562688,14.07111763,2.71e-37,5.809999999999999e-34,73.89825719,0.4011871301035393,0.40118713010353924,3.590875954339627
7123,-4.912017455,0.8687054209999999,-14.05382218,3.21e-37,6.3399999999999995e-34,73.73290338,0.5929085159532219,0.5929085159532218,5.699646493266244
221476,-8.284612757,-0.775399217,-13.95133996,8.66e-37,1.59e-33,72.7546543,1.0,1.0,10.177303090631082
116135,-4.342106927,-3.492864267,-13.6108462,2.29e-35,3.9299999999999997e-32,69.52395683,0.5241170654996735,0.5241170654996734,4.9429996361430115
29128,3.418114224,4.3975864719999995,13.58187007,3.03e-35,4.86e-32,69.25045384,0.4125858774885886,0.4125858774885885,3.716252383055331
55355,3.3673129669999997,4.229303427,13.42227828,1.3899999999999997e-34,2.1e-31,67.74824991,0.4064538760915316,0.4064538760915315,3.648805635612617
266743,-4.079341939,-3.0940289180000002,-13.32492988,3.5099999999999997e-34,5.01e-31,66.83546132,0.4923998331187177,0.4923998331187176,4.594137327826041
128239,3.6413153730000003,5.027432900000001,13.27548264,5.61e-34,7.5900000000000005e-31,66.37286441,0.4395275289027007,0.43952752890270064,4.012587403378284
114786,-4.580495281,-3.046564011,-13.26710466,6.079999999999999e-34,7.809999999999999e-31,66.29455586,0.5528918991572367,0.5528918991572366,5.2594980862802245
