Entrez.Gene,adj.P.Val,P.Value,logFC,ID,logFC_max_min
107985946,0.9941059999999999,0.983,0.0035399999999999997,8055404,0.0005324608795507219
106660612,0.17319600000000002,0.0241,0.400555,8180207,0.0610174268580428
106481339,0.2409,0.046,-0.5269575,7908728,0.08027476200179391
106481123,0.8157399999999999,0.602,-0.1671825,7957549,0.025463284765639138
106479524,0.56488,0.263,0.5045275,8040247,0.07685756671472019
106478910,0.726672,0.46,0.1561625,7901856,0.023784395239845445
105377774,0.443874,0.154,-0.621865,8148982,0.09473385525671814
105377021,0.711834,0.439,-0.138685,8086024,0.021121709968787435
105375800,0.591332,0.29100000000000004,-0.206815,8148692,0.031501269260286915
105375092,0.6837949999999999,0.40399999999999997,-0.133715,8127128,0.020364533839640913
105374290,0.584194,0.28300000000000003,0.2679475,8092883,0.040814764172771745
105372274,0.618892,0.32299999999999995,-0.306575,8034199,0.04669963759905086
105370792,0.9907870000000001,0.9740000000000001,0.0070125,7983051,0.0010614938993618467
105369209,0.6582180000000001,0.373,-0.1302825,8063869,0.019841594792700184
103091865,0.860611,0.6809999999999999,-0.077625,8070386,0.011819260382130187
102724237,0.978115,0.938,0.018142500000000002,8162249,0.0027571418505491245
102724229,0.8836709999999999,0.725,-0.066355,8141765,0.010102283525896528
102723968,0.554091,0.253,-0.177065,7971915,0.026968876937930982
102723701,0.6086,0.311,-0.15461,8150214,0.023547872917813257
102723566,0.44042600000000004,0.152,-0.22580250000000002,8158145,0.03439400200720232
102723489,0.706403,0.43200000000000005,-0.1278975,8070891,0.01947824166030291
102606463,0.61082,0.314,0.49482250000000005,8009515,0.07537901654704071
101954277,0.7579600000000001,0.506,0.22371,7919594,0.0340752110514198
101954276,0.649655,0.361,-0.15329500000000001,7904715,0.023347533559699037
101954273,0.323205,0.08,-0.35848,7919151,0.054607329144996566
101954272,0.299709,0.0691,-0.3145925,7904480,0.047921098286260566
101954269,0.828894,0.626,-0.083235,7919570,0.012673940077203018
101954267,0.8608620000000001,0.6809999999999999,-0.310645,7919556,0.047319699338613505
101954264,0.567358,0.265,-0.21401750000000003,7919160,0.032598565250262335
101930072,0.878341,0.715,-0.06427999999999999,8148512,0.00978615868324481
101929762,0.5149090000000001,0.213,-0.23233,8102513,0.035388462204989826
101929469,0.59897,0.301,-0.3527375,7960338,0.05373246316479054
101929163,0.9284979999999999,0.818,0.08957000000000001,8118544,0.013639073030551754
101928953,0.291529,0.0656,0.52455,8153835,0.07990798100965704
